Method,l,Elapsed Time,RMSE
FRSVT,5,0.41209280490875244,20.742001026354988
FRSVT,10,0.9452385306358337,15.531463843135876
FRSVT,15,2.354297161102295,5.7676462304161475
FRSVT,20,2.9201093316078186,11.215517650932528
QISVT,5,0.45992976427078247,12.192587729153445
QISVT,10,0.9958343505859375,26.326950093849604
QISVT,15,1.4950196743011475,5.514749021804619
QISVT,20,3.0563343167304993,4.158532280314764
SVD,5,4.3282811641693115,46.99594657744231
SVD,10,3.3286953568458557,46.99594657744231
SVD,15,3.5322269797325134,46.99594657744231
SVD,20,3.136990964412689,46.99594657744231
