,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.00998302475095087,0.5397858619689941
1,QISVT,3,5,2,0.009982887616926065,0.7327001094818115
2,SVT,3,5,2,0.010054415563417893,7.686760902404785
3,FRSVT,3,5,2,0.009979734522719427,0.6017160415649414
4,QISVT,3,5,2,0.010004948737925873,0.24437689781188965
5,SVT,3,5,2,0.010054415563417893,3.718376874923706
6,FRSVT,3,10,2,0.010000172401003753,0.9564731121063232
7,QISVT,3,10,2,0.010005165917617425,0.7938787937164307
8,SVT,3,10,2,0.010054415563417893,16.926225900650024
9,FRSVT,3,10,2,0.009977336051787753,0.9414019584655762
10,QISVT,3,10,2,0.010001786822942955,0.6491279602050781
11,SVT,3,10,2,0.010054415563417893,5.345738887786865
12,FRSVT,3,15,2,0.009993517123128315,2.6327712535858154
13,QISVT,3,15,2,0.009993012619122011,1.4573631286621094
14,SVT,3,15,2,0.010054415563417893,5.031070947647095
15,FRSVT,3,15,2,0.009986069286128189,3.4163599014282227
16,QISVT,3,15,2,0.009987010097438864,3.0274810791015625
17,SVT,3,15,2,0.010054415563417893,8.607974767684937
18,FRSVT,3,20,2,0.010013598096258715,5.131469964981079
19,QISVT,3,20,2,0.009981674724441933,8.768273830413818
20,SVT,3,20,2,0.010054415563417893,3.6039459705352783
21,FRSVT,3,20,2,0.010029922572154827,5.4877588748931885
22,QISVT,3,20,2,0.010003495470419033,5.407855033874512
23,SVT,3,20,2,0.010054415563417893,5.204295873641968
24,FRSVT,5,5,2,0.009968629862318303,0.4580259323120117
25,QISVT,5,5,2,0.009998630079355732,0.6081798076629639
26,SVT,5,5,2,0.01030307870613002,16.641730785369873
27,FRSVT,5,5,2,0.010124410278706275,0.3877878189086914
28,QISVT,5,5,2,0.009968988847518878,0.43150806427001953
29,SVT,5,5,2,0.01030307870613002,4.453248977661133
30,FRSVT,5,10,2,0.01005371392920574,1.2333850860595703
31,QISVT,5,10,2,0.010025342032921387,2.7919628620147705
32,SVT,5,10,2,0.01030307870613002,16.403677940368652
33,FRSVT,5,10,2,0.01000526047013873,1.8943569660186768
34,QISVT,5,10,2,0.009990433165836329,1.1783099174499512
35,SVT,5,10,2,0.01030307870613002,16.668235063552856
36,FRSVT,5,15,2,0.010254975764036176,2.8315467834472656
37,QISVT,5,15,2,0.01001122084402758,2.030961751937866
38,SVT,5,15,2,0.01030307870613002,6.3074798583984375
39,FRSVT,5,15,2,0.01000203817347878,2.4305379390716553
40,QISVT,5,15,2,0.010022512997977375,2.1084868907928467
41,SVT,5,15,2,0.01030307870613002,9.461759805679321
42,FRSVT,5,20,2,0.010038490393244046,6.225680828094482
43,QISVT,5,20,2,0.010050053357356321,1.9622011184692383
44,SVT,5,20,2,0.01030307870613002,4.178194999694824
45,FRSVT,5,20,2,0.010012331303520593,2.6280319690704346
46,QISVT,5,20,2,0.010063746536183221,5.467013120651245
47,SVT,5,20,2,0.01030307870613002,3.227959156036377
48,FRSVT,7,5,2,0.009970649570699628,0.4641110897064209
49,QISVT,7,5,2,0.00997058434585681,0.8018932342529297
50,SVT,7,5,2,0.010833906361407287,21.1793270111084
51,FRSVT,7,5,2,0.009970377747030707,0.434309720993042
52,QISVT,7,5,2,0.009970390419507197,0.6055340766906738
53,SVT,7,5,2,0.010833906361407287,8.040480852127075
54,FRSVT,7,10,2,0.010513678123488112,1.6464979648590088
55,QISVT,7,10,2,0.00999118065594693,0.8734531402587891
56,SVT,7,10,2,0.010833906361407287,3.972780227661133
57,FRSVT,7,10,2,0.010326993656712097,1.0868570804595947
58,QISVT,7,10,2,0.010985484522215077,0.5604171752929688
59,SVT,7,10,2,0.010833906361407287,16.491494178771973
60,FRSVT,7,15,2,0.010031442400570403,1.6298959255218506
61,QISVT,7,15,2,0.01002451366220468,1.2507860660552979
62,SVT,7,15,2,0.010833906361407287,2.7972049713134766
63,FRSVT,7,15,2,0.010049130246715741,1.1323270797729492
64,QISVT,7,15,2,0.010101335713315776,2.37369704246521
65,SVT,7,15,2,0.010833906361407287,10.747560977935791
66,FRSVT,7,20,2,0.010007761096717844,2.2384798526763916
67,QISVT,7,20,2,0.010040221664766927,1.969012975692749
68,SVT,7,20,2,0.010833906361407287,2.7093629837036133
69,FRSVT,7,20,2,0.01002398851400018,4.549515008926392
70,QISVT,7,20,2,0.010046793252532209,2.5738041400909424
71,SVT,7,20,2,0.010833906361407287,3.1573598384857178
