,method,rank,l,p,rmse,time
0,FRSVT,3,5,2,0.00998302475095087,0.6006667613983154
1,QISVT,3,5,2,0.009982887616926065,0.3037421703338623
2,SVT,3,5,2,0.010054415563417893,12.629765748977661
3,FRSVT,3,5,2,0.009979734522719427,0.5340039730072021
4,QISVT,3,5,2,0.010004948737925873,0.2636911869049072
5,SVT,3,5,2,0.010054415563417893,5.345383167266846
6,FRSVT,3,10,2,0.010000172401003753,0.733853816986084
7,QISVT,3,10,2,0.010005165917617425,0.6933848857879639
8,SVT,3,10,2,0.010054415563417893,2.9217209815979004
9,FRSVT,3,10,2,0.009977336051787753,0.6617221832275391
10,QISVT,3,10,2,0.010001786822942955,0.6238632202148438
11,SVT,3,10,2,0.010054415563417893,3.0602128505706787
12,FRSVT,3,15,2,0.009993517123128315,1.171426773071289
13,QISVT,3,15,2,0.009993012619122011,1.1751708984375
14,SVT,3,15,2,0.010054415563417893,3.6496429443359375
15,FRSVT,3,15,2,0.009986069286128189,1.2529022693634033
16,QISVT,3,15,2,0.009987010097438864,1.2142839431762695
17,SVT,3,15,2,0.010054415563417893,4.1453492641448975
18,FRSVT,3,20,2,0.010013598096258715,1.8525009155273438
19,QISVT,3,20,2,0.009981674724441933,2.374622106552124
20,SVT,3,20,2,0.010054415563417893,4.377482891082764
21,FRSVT,3,20,2,0.010029922572154827,2.737522840499878
22,QISVT,3,20,2,0.010003495470419033,3.0071821212768555
23,SVT,3,20,2,0.010054415563417893,3.1839258670806885
24,FRSVT,5,5,2,0.009968629862318303,0.44617533683776855
25,QISVT,5,5,2,0.009998630079355732,0.40185022354125977
26,SVT,5,5,2,0.01030307870613002,3.227242946624756
27,FRSVT,5,5,2,0.010124410278706275,0.33941030502319336
28,QISVT,5,5,2,0.009968988847518878,0.4955427646636963
29,SVT,5,5,2,0.01030307870613002,4.0793750286102295
30,FRSVT,5,10,2,0.01005371392920574,0.7236630916595459
31,QISVT,5,10,2,0.010025342032921387,0.7165036201477051
32,SVT,5,10,2,0.01030307870613002,17.277169227600098
33,FRSVT,5,10,2,0.01000526047013873,0.6986610889434814
34,QISVT,5,10,2,0.009990433165836329,0.8615491390228271
35,SVT,5,10,2,0.01030307870613002,6.659077167510986
36,FRSVT,5,15,2,0.010254975764036176,1.2271950244903564
37,QISVT,5,15,2,0.01001122084402758,1.0299997329711914
38,SVT,5,15,2,0.01030307870613002,3.193056106567383
39,FRSVT,5,15,2,0.01000203817347878,1.0664770603179932
40,QISVT,5,15,2,0.010022512997977375,1.2895610332489014
41,SVT,5,15,2,0.01030307870613002,2.9332492351531982
42,FRSVT,5,20,2,0.010038490393244046,1.8369190692901611
43,QISVT,5,20,2,0.010050053357356321,3.6884827613830566
44,SVT,5,20,2,0.01030307870613002,2.9776928424835205
45,FRSVT,5,20,2,0.010012331303520593,1.9745879173278809
46,QISVT,5,20,2,0.010063746536183221,1.7528760433197021
47,SVT,5,20,2,0.01030307870613002,3.2753570079803467
48,FRSVT,7,5,2,0.009970649570699628,0.35223817825317383
49,QISVT,7,5,2,0.00997058434585681,0.37105369567871094
50,SVT,7,5,2,0.010833906361407287,2.407027006149292
51,FRSVT,7,5,2,0.009970377747030707,0.26308703422546387
52,QISVT,7,5,2,0.009970390419507197,0.3067028522491455
53,SVT,7,5,2,0.010833906361407287,3.4885880947113037
54,FRSVT,7,10,2,0.010513678123488112,0.7736866474151611
55,QISVT,7,10,2,0.00999118065594693,0.5563259124755859
56,SVT,7,10,2,0.010833906361407287,3.7856199741363525
57,FRSVT,7,10,2,0.010326993656712097,0.851132869720459
58,QISVT,7,10,2,0.010985484522215077,1.1008892059326172
59,SVT,7,10,2,0.010833906361407287,3.6303200721740723
60,FRSVT,7,15,2,0.010031442400570403,1.1998751163482666
61,QISVT,7,15,2,0.01002451366220468,1.105072021484375
62,SVT,7,15,2,0.010833906361407287,2.3657052516937256
63,FRSVT,7,15,2,0.010049130246715741,1.2826972007751465
64,QISVT,7,15,2,0.010101335713315776,1.3083038330078125
65,SVT,7,15,2,0.010833906361407287,3.3814008235931396
66,FRSVT,7,20,2,0.010007761096717844,1.899662971496582
67,QISVT,7,20,2,0.010040221664766927,1.690385103225708
68,SVT,7,20,2,0.010833906361407287,3.3164937496185303
69,FRSVT,7,20,2,0.01002398851400018,2.098828077316284
70,QISVT,7,20,2,0.010046793252532209,1.9027471542358398
71,SVT,7,20,2,0.010833906361407287,2.9310479164123535
72,FRSVT,9,5,2,0.010563520129559054,0.27611613273620605
73,QISVT,9,5,2,0.01192365512079057,0.2740821838378906
74,SVT,9,5,2,0.012780773522229555,2.3892509937286377
75,FRSVT,9,5,2,0.011059546239964267,0.32530999183654785
76,QISVT,9,5,2,0.011980693089006171,0.3258638381958008
77,SVT,9,5,2,0.012780773522229555,2.9592480659484863
78,FRSVT,9,10,2,0.010541434121675132,0.6445188522338867
79,QISVT,9,10,2,0.012235989547183652,0.7012112140655518
80,SVT,9,10,2,0.012780773522229555,3.41967511177063
81,FRSVT,9,10,2,0.010374715829665109,0.6319868564605713
82,QISVT,9,10,2,0.010344383285627071,0.9712481498718262
83,SVT,9,10,2,0.012780773522229555,3.7517058849334717
84,FRSVT,9,15,2,0.011409126614497637,1.2527258396148682
85,QISVT,9,15,2,0.012496127127366379,1.2879359722137451
86,SVT,9,15,2,0.012780773522229555,4.522966146469116
87,FRSVT,9,15,2,0.010116022194509819,1.0951387882232666
88,QISVT,9,15,2,0.010917285505278162,1.0459630489349365
89,SVT,9,15,2,0.012780773522229555,2.480987071990967
90,FRSVT,9,20,2,0.010707547647282288,1.7644250392913818
91,QISVT,9,20,2,0.010038408277061444,1.8363149166107178
92,SVT,9,20,2,0.012780773522229555,2.395881175994873
93,FRSVT,9,20,2,0.011348368248251244,2.5231759548187256
94,QISVT,9,20,2,0.011444359343221888,2.0640368461608887
95,SVT,9,20,2,0.012780773522229555,2.5038950443267822
96,FRSVT,11,5,2,0.0101467093253784,0.3548910617828369
97,QISVT,11,5,2,0.010152010050219911,0.25467896461486816
98,SVT,11,5,2,0.013279676788528373,3.0718917846679688
99,FRSVT,11,5,2,0.010145662360804667,0.37227392196655273
100,QISVT,11,5,2,0.011250406047174448,0.3655869960784912
101,SVT,11,5,2,0.013279676788528373,3.571070909500122
102,FRSVT,11,10,2,0.010535733639396345,0.6843156814575195
103,QISVT,11,10,2,0.01114470757063251,0.7014899253845215
104,SVT,11,10,2,0.013279676788528373,4.274059772491455
105,FRSVT,11,10,2,0.010151207522642479,0.7182071208953857
106,QISVT,11,10,2,0.011165175478268752,0.9099340438842773
107,SVT,11,10,2,0.013279676788528373,3.504423141479492
108,FRSVT,11,15,2,0.01107096213500027,1.3777499198913574
109,QISVT,11,15,2,0.010919907462665036,1.2860639095306396
110,SVT,11,15,2,0.013279676788528373,2.9881110191345215
111,FRSVT,11,15,2,0.010570766945727372,1.375697135925293
112,QISVT,11,15,2,0.010003830264807093,1.5964930057525635
113,SVT,11,15,2,0.013279676788528373,2.462498903274536
114,FRSVT,11,20,2,0.011178255507284017,1.985079050064087
115,QISVT,11,20,2,0.011065651388594451,2.098284959793091
116,SVT,11,20,2,0.013279676788528373,2.649228811264038
117,FRSVT,11,20,2,0.010937899053952758,1.8068201541900635
118,QISVT,11,20,2,0.010023115937813836,1.7279200553894043
119,SVT,11,20,2,0.013279676788528373,2.4181149005889893
